source,target,similarity
tweet_1984086500758450261,tweet_1984230195042377939,0.17866319411582615
tweet_1984086500758450261,tweet_1984230460227195032,0.17866319411582615
tweet_1984086500758450261,tweet_1984230420138099193,0.17866319411582615
tweet_1984086500758450261,tweet_1984230376043422159,0.17866319411582615
tweet_1984086500758450261,tweet_1984230225220387170,0.17866319411582615
tweet_1984094167442846017,tweet_1984230195042377939,0.17866319411582615
tweet_1984094167442846017,tweet_1984230460227195032,0.17866319411582615
tweet_1984094167442846017,tweet_1984230420138099193,0.17866319411582615
tweet_1984094167442846017,tweet_1984230376043422159,0.17866319411582615
tweet_1984094167442846017,tweet_1984230225220387170,0.17866319411582615
tweet_1984225025390788978,tweet_1984253353824850340,0.22208020967688955
tweet_1984230195042377939,tweet_1984230460227195032,0.17866319411582615
tweet_1984230195042377939,tweet_1984396679747928570,0.17866319411582615
tweet_1984230195042377939,tweet_1984230420138099193,0.17866319411582615
tweet_1984230195042377939,tweet_1984230376043422159,0.17866319411582615
tweet_1984230195042377939,tweet_1984230225220387170,0.17866319411582615
tweet_1984230225220387170,tweet_1984396679747928570,0.17866319411582615
tweet_1984230225220387170,tweet_1984230329071407421,0.17866319411582615
tweet_1984230225220387170,tweet_1984230420138099193,0.17866319411582615
tweet_1984230225220387170,tweet_1984230460227195032,0.17866319411582615
tweet_1984230195042377939,tweet_1984230329071407421,0.17866319411582615
tweet_1984230329071407421,tweet_1984396679747928570,0.17866319411582615
tweet_1984230329071407421,tweet_1984230420138099193,0.17866319411582615
tweet_1984230329071407421,tweet_1984230376043422159,0.17866319411582615
tweet_1984230376043422159,tweet_1984396679747928570,0.17866319411582615
tweet_1984230376043422159,tweet_1984230420138099193,0.17866319411582615
tweet_1984230376043422159,tweet_1984230460227195032,0.17866319411582615
tweet_1984230225220387170,tweet_1984230376043422159,0.17866319411582615
tweet_1984230420138099193,tweet_1984396679747928570,0.17866319411582615
tweet_1984230420138099193,tweet_1984230460227195032,0.17866319411582615
tweet_1984230460227195032,tweet_1984396679747928570,0.17866319411582615
tweet_1984231865557897414,tweet_1984308870156558352,0.1540777473549489
tweet_1984231865557897414,tweet_1984237244761469038,0.12776972098875072
tweet_1984237244761469038,tweet_1984306390328836575,0.12286627421769546
tweet_1984244294648254724,tweet_1984244298943201567,0.3754928869288232
tweet_1984244294648254724,tweet_1984244305863856513,0.15602354635013624
tweet_1984244298943201567,tweet_1984244305863856513,0.15602354635013624
tweet_1984259085202845766,tweet_1984275480296685679,0.21291706637323024
tweet_1984275480296685679,tweet_1984344338508226958,0.1374874091210291
tweet_1984278240224280933,tweet_1984306390328836575,0.13699415215365612
tweet_1984279019505004773,tweet_1984306390328836575,0.13197770483375745
