id,text,date,type,hdbscan_label,hdbscan_probability
tweet_1983676920299491695,Ah yes. The classic Founder pattern [True True False True True False] https://t.co/qOMPMoBBm9,2025-10-29 23:26:47,tweet,20,1.0
tweet_1983677294410359046,"Not revolutionary. Cyclical Amnesia.

Just pattern recognition applied to founder psychology using probabilistic graphical models and structured data archives. https://t.co/aRNdEFgoqq",2025-10-29 23:28:16,tweet,-1,0.0
tweet_1983697541138100347,"New update to https://t.co/YAgrmtbCLs: blog posts that randomly shuffle so I can get a feel for which ones get the most clicks from the home page.

Then I track the clicks/display on Fathom and get the best performers up front and center. https://t.co/2alqqDaD1P",2025-10-30 00:48:43,tweet,-1,0.0
tweet_1983697785179484215,"No CMS set up for the site yet. Decided to run it simply with a template in the repo and Cursor.

Will evaluate how annoying it is vs setting up a ghost/sanity/something else alongside a basic page that deploys with github pages",2025-10-30 00:49:41,tweet,-1,0.0
tweet_1983733371785416729,@JayVander_ I type way faster than I can speak. I have no idea how people move that slowly.,2025-10-30 03:11:06,tweet,-1,0.0
tweet_1983868908299022831,"I’m slowly starting to figure out how to feel them in my body again. 

I’ve numbed a lot because I had to.",2025-10-30 12:09:40,tweet,22,0.9781967958305839
tweet_1983887190619758822,Looks like I’ll be writing about competition and Harvard today based on the news drops.,2025-10-30 13:22:19,tweet,16,1.0
tweet_1983889854607061474,Good start. https://t.co/ImgPNSUxYA,2025-10-30 13:32:54,tweet,17,0.962591886176121
tweet_1983890008256999465,Greatness is a decision. https://t.co/5oHZvpjwBS,2025-10-30 13:33:31,tweet,3,0.8493616365047674
tweet_1983890201954148675,https://t.co/O2OMZFZnEO,2025-10-30 13:34:17,tweet,9,1.0
tweet_1983893775224074677,"See the Harvard news and want to know what the root cause is?

Check it out here: https://t.co/efb4MA2ywm",2025-10-30 13:48:29,tweet,23,0.9799054027774023
tweet_1983894984433471811,Just FYI. https://t.co/D5m2bracLa,2025-10-30 13:53:17,tweet,-1,0.0
tweet_1983896100252569914,"@jpfraneto Here's a full blog on it, if you're curious: https://t.co/6xRZkRHSbW",2025-10-30 13:57:43,tweet,23,0.9882229768115653
tweet_1983898823706735074,"Welcome to the Hypergame!

You feel lost because you don't know the scoring mechanism.

That's what I'm fixing. https://t.co/o1MZq9SVIG",2025-10-30 14:08:33,tweet,19,1.0
tweet_1983899048516976883,"@christophcsmith Actually, I decided to be a pro learner.

A Meta Athlete. Or ""Mathlete"". 😎

https://t.co/w08TCZGWH6",2025-10-30 14:09:26,tweet,4,1.0
tweet_1983899764858220609,https://t.co/ckw6YQEJwu,2025-10-30 14:12:17,tweet,9,1.0
tweet_1983900367445221549,"@dagorenouf Glad to hear it. Congrats on everything. Love seeing the success you are having.

Well deserved!",2025-10-30 14:14:41,tweet,-1,0.0
tweet_1983900603504800195,"@owlcyon Nope, I had an archive I downloaded that I've been playing with.

I created a data room for myself as I start conversations with investors and I'm running analyses on it.

https://t.co/CPuUJSQ3qe",2025-10-30 14:15:37,tweet,-1,0.0
tweet_1983902307986129097,"The hypergames are breaking because the feedback cycles sped up.

Institutions lost their mandate and now the games don't make sense anymore. https://t.co/T1R6q2j7UC",2025-10-30 14:22:24,tweet,-1,0.0
tweet_1983905032811454694,"Don't build unless you have to, because structure freezes learning.

CC: @DefenderOfBasic - this might help you understand why I haven't built more, and I'm focusing on the ideas first. https://t.co/DvxRvuriBl",2025-10-30 14:33:13,tweet,-1,0.0
tweet_1983907024661574121,"I saw the headline an hour ago.

And I leveraged conscious speed to take advantage of it. 

Let's see what I produced in the last hour:",2025-10-30 14:41:08,tweet,-1,0.0
tweet_1983907045989306806,"My DMs are open.

Let's help you showcase why you are better than the competition.

We'll measure it, so you know for sure.

Then, the competition really begins.",2025-10-30 14:41:13,tweet,22,0.9794138104959709
tweet_1983907043724439871,"And right now, I'm working on our first sponsor metric, because I'm creating publicly visible metrics that collapse those metagame metrics around individual aspects of our startups in pod 1.

Want a metric you can use to align your team around, and one that you can claim?",2025-10-30 14:41:13,tweet,22,0.983072647262312
tweet_1983908439320346791,"@owlcyon It's already here.

I'm simply demoing it now for anyone who is paying attention.

https://t.co/vw8qebM0LP",2025-10-30 14:46:45,tweet,8,1.0
tweet_1983908727234179201,"@owlcyon I'm figuring out the best way to analyze everything, but I do have a factory repo here for anyone who wants to create their own: https://t.co/LCd4TSu9gQ",2025-10-30 14:47:54,tweet,8,1.0
tweet_1984001896772964626,"Huh, Thursdays are for manifestos, I guess.

Up to about 6 today.",2025-10-30 20:58:07,tweet,-1,0.0
tweet_1984003344453791751,"Pretty cool when it turns out the local university is perfectly aligned with everything I'm doing.

Things might be a lot easier, suddenly.",2025-10-30 21:03:52,tweet,-1,0.0
tweet_1984004880290431016,"@Mat_Sherman That's what universities are supposed to be, and can be again, if they choose to.

I'm working on that now.",2025-10-30 21:09:59,tweet,-1,0.0
tweet_1984050912391000177,@im_roy_lee I agree with that. The reason we get slop is that the incentives force a bunch of unskilled people to crank out stuff they don't enjoy doing for people they don't enjoy doing them for.,2025-10-31 00:12:54,tweet,-1,0.0
tweet_1984061637108859162,Working on an MetaSPN Playbook. https://t.co/jGR0wyT3Mo,2025-10-31 00:55:31,tweet,-1,0.0
tweet_1984086500758450261,https://t.co/lwOCJmtI7M,2025-10-31 02:34:18,tweet,9,1.0
tweet_1984094167442846017,https://t.co/GRGz5bgKYp,2025-10-31 03:04:46,tweet,9,1.0
tweet_1984225025390788978,Assembling a book this morning.,2025-10-31 11:44:45,tweet,7,1.0
tweet_1984229864610902339,Book Assembled. https://t.co/56822Pp0aG,2025-10-31 12:03:59,tweet,7,0.9414039784402548
tweet_1984230195042377939,https://t.co/FgdGAdzQl1,2025-10-31 12:05:18,tweet,9,1.0
tweet_1984230225220387170,https://t.co/HholpRiiYf,2025-10-31 12:05:25,tweet,9,1.0
tweet_1984230329071407421,https://t.co/yv3JVW8k7Q,2025-10-31 12:05:50,tweet,9,1.0
tweet_1984230376043422159,https://t.co/oeZa0XJR41,2025-10-31 12:06:01,tweet,9,1.0
tweet_1984230420138099193,https://t.co/rnSTtBZp4g,2025-10-31 12:06:12,tweet,9,1.0
tweet_1984230460227195032,https://t.co/0avWL92cDJ,2025-10-31 12:06:21,tweet,9,1.0
tweet_1984230751651639668,"The players are awakening now.

Are you ready to play? https://t.co/ValLMQdD87",2025-10-31 12:07:31,tweet,22,0.9732565524815683
tweet_1984231865557897414,"@johnsonmxe @BasedBeffJezos For intelligence, it's not so much about the qualia experienced as it is about the construction of qualia into meaningful predictions.

Qualia is simply a mapping of observations of the world that can be combined into predictions, and the qualia you've experienced before can be",2025-10-31 12:11:56,tweet,5,1.0
tweet_1984233487877169153,Welcome to the new Renaissance. https://t.co/TxqQlDUdD0,2025-10-31 12:18:23,tweet,19,1.0
tweet_1984237244761469038,"@__drewface @cavi_jointleman The crew definitely helps. It makes everything a lot easier.  

But there’s a level you can find where you can’t help but do the work, regardless of the support or lack thereof. 

I’ve been there for a long time and I’m ascending to the crew stage now. 

It’s a nice change tbh",2025-10-31 12:33:19,tweet,21,1.0
tweet_1984239423886938459,"Decisions, decisions.... https://t.co/7mkL3HM9f6",2025-10-31 12:41:58,tweet,-1,0.0
tweet_1984244294648254724,Conscious funnel step 1: proof collection https://t.co/dbYQIAuEbp,2025-10-31 13:01:19,tweet,3,1.0
tweet_1984244298943201567,Conscious funnel step 2: decision gates https://t.co/arzbUX4oDj,2025-10-31 13:01:21,tweet,3,1.0
tweet_1984244305863856513,Conscious funnels step 3: experiment launches https://t.co/buucy0GYDh,2025-10-31 13:01:22,tweet,3,0.8533293901951886
tweet_1984253353824850340,Might fuck around and publish a book this afternoon.,2025-10-31 13:37:19,tweet,7,1.0
tweet_1984259085202845766,Started digging into my past a bit. https://t.co/rHsb7VH00o,2025-10-31 14:00:06,tweet,11,1.0
tweet_1984275480296685679,"And it's funny, my present echoes my past. https://t.co/quO9okXrL6",2025-10-31 15:05:15,tweet,11,1.0
tweet_1984275605874147441,Slowness is the worst kind of violence for those of us that are fast. https://t.co/KyFleS9JJP,2025-10-31 15:05:45,tweet,-1,0.0
tweet_1984275792252350819,"That's why I'm creating MetaSPN.

I know speed and I will never slow you down. https://t.co/zvHQKNnG2a",2025-10-31 15:06:29,tweet,1,1.0
tweet_1984275952923525488,"Don't move fast and break things.

Move consciously and integrate things. https://t.co/yach36ljS0",2025-10-31 15:07:07,tweet,-1,0.0
tweet_1984278240224280933,"@PierreDeWulf This is of course the flip side of the problem that developers hate paying for things.

Great for helping you get real feedback, hard to sell to.

Feels like we need influencers, but for the code, not the audience...",2025-10-31 15:16:13,tweet,-1,0.0
tweet_1984278698745569790,Turning the book into an interactive site before I decide whether or not to move forward publishing.,2025-10-31 15:18:02,tweet,-1,0.0
tweet_1984279019505004773,"TIL about Astro, which is nice because I was able to move the latex files to markdown and just use those for the pages, and then adding dynamic components within the chapters as needed.",2025-10-31 15:19:19,tweet,-1,0.0
tweet_1984281525324861466,Coming soon: performance hackers that take over your socials for not being good enough at it.,2025-10-31 15:29:16,tweet,-1,0.0
tweet_1984306390328836575,"@nosilverv It's only discontinuous because of the systems we create that capture the transformation. The observer sees the caterpillar and then watches them become a butterfly in ""real time"".

Except, there's no transmission about how to create the chrysalis that enables the transformation",2025-10-31 17:08:04,tweet,-1,0.0
tweet_1984307082456088898,Vibe-benchmarking is my new favorite vibe activity.,2025-10-31 17:10:49,tweet,-1,0.0
tweet_1984308870156558352,"@whyarethis It's not, as designed. It could be, but requires the understanding of networks instead of models.",2025-10-31 17:17:55,tweet,5,1.0
tweet_1984344338508226958,Time: my paintbrush,2025-10-31 19:38:52,tweet,11,0.9432167715018078
tweet_1984361390019396054,The natural follow on from this is that humans become the limiting factor and explains why I’ve been focused on consciousness and human value.,2025-10-31 20:46:37,tweet,6,1.0
tweet_1984396679747928570,https://t.co/kyg6MRaVr5,2025-10-31 23:06:51,tweet,9,1.0
tweet_1984399822296629284,Yet another reason MetaSPN is needed.,2025-10-31 23:19:20,tweet,10,1.0
